H,1,1.0080
He,2,4.002602
Li,3,6.94
Be,4,9.0121831
B,5,10.81
C,6,12.011
N,7,14.006726
O,8,15.9994042
F,9,18.998403162
Ne,10,20.1797
Na,11,22.98976928
Mg,12,24.305
Al,13,26.9815384
Si,14,28.085
P,15,30.973761998
S,16,32.06
Cl,17,35.45
Ar,18,39.95
K,19,39.0983
Ca,20,40.078
Sc,21,44.955907
Ti,22,47.867
V,23,50.9415
Cr,24,51.9961
Mn,25,54.938043
Fe,26,55.845
Co,27,58.933194
Ni,28,58.6934
Cu,29,63.546
Zn,30,65.38
Ga,31,69.723
Ge,32,72.630
As,33,74.921595
Se,34,78.971
Br,35,79.904
Kr,36,83.798
Rb,37,85.4678
Sr,38,87.62
Y,39,88.905838
Zr,40,91.222
Nb,41,92.90637
Mo,42,95.95
Tc,43,97
Ru,44,101.07
Rh,45,102.90549
Pd,46,106.42
Ag,47,107.8682
Cd,48,112.414
In,49,114.818
Sn,50,118.710
Sb,51,121.760
Te,52,127.60
I,53,126.90447
Xe,54,131.293
Cs,55,132.90545196
Ba,56,137.327
La,57,138.90547
Ce,58,140.116
Pr,59,140.90766
Nd,60,144.242
Pm,61,145
Sm,62,150.36
Eu,63,151.964
Gd,64,157.249
Tb,65,158.925354
Dy,66,162.500
Ho,67,164.930329
Er,68,167.259
Tm,69,168.934219
Yb,70,173.045
Lu,71,174.96669
Hf,72,178.486
Ta,73,180.94788
W,74,183.84
Re,75,186.207
Os,76,190.23
Ir,77,192.217
Pt,78,195.084
Au,79,196.966570
Hg,80,200.592
Tl,81,204.38
Pb,82,207.2
Bi,83,208.98040
Po,84,209
At,85,210
Rn,86,222
Fr,87,223
Ra,88,226
Ac,89,227
Th,90,232.0377
Pa,91,231.03588
U,92,238.02891
Np,93,237
Pu,94,244
Am,95,243
Cm,96,247
Bk,97,247
Cf,98,251
Es,99,252
Fm,100,257
Md,101,258
No,102,259
Lr,103,266
Rf,104,267
Db,105,268
Sg,106,267
Bh,107,270
Hs,108,271
Mt,109,278
Ds,110,281
Rg,111,282
Cn,112,285
Nh,113,286
Fl,114,289
Mc,115,290
Lv,116,293
Ts,117,294
Og,118,294
